Date,Open,High,Low,Close,Volume
2020-08-14 00:00:00+05:30,850.087468678546,856.4463600426581,846.7079404194653,848.08642578125,4663873
2020-08-17 00:00:00+05:30,848.5311725556618,864.8508230000228,848.5311725556618,851.5549926757812,9008210
2020-08-18 00:00:00+05:30,857.246755365069,861.9603119828923,852.6221122699036,860.4928588867188,6141761
2020-08-19 00:00:00+05:30,863.4722205390702,864.0502669989949,851.510420544584,853.1557006835938,6622744
2020-08-20 00:00:00+05:30,852.8001598669294,858.6698648325171,846.0410480925568,849.465087890625,5656501
2020-08-21 00:00:00+05:30,856.490899864998,856.8466625717226,841.8165838617766,843.817626953125,6513773
2020-08-24 00:00:00+05:30,842.2167470826626,846.663509210871,835.2798090190104,842.572509765625,5798574
2020-08-25 00:00:00+05:30,842.6613251415273,843.6841020245869,830.2993061523415,834.3013916015625,6233918
2020-08-26 00:00:00+05:30,837.1030082860296,848.6645903393826,834.5683754716551,845.5963134765625,5153601
2020-08-27 00:00:00+05:30,853.7782937314274,854.6231893576182,840.615889226087,842.2611694335938,6154280
2020-08-28 00:00:00+05:30,846.1743656751053,847.1081748540247,829.8102595347734,831.766845703125,7593610
2020-08-31 00:00:00+05:30,831.7668766220885,845.3295014480568,813.4017268663498,825.8526611328125,12808355
2020-09-01 00:00:00+05:30,823.7626683082028,831.5445018819645,811.1783100162144,813.0015258789062,6907773
2020-09-02 00:00:00+05:30,813.7575461647727,823.8961864854351,812.4235174005682,821.76171875,5678118
2020-09-03 00:00:00+05:30,823.9850019744846,844.3511937305957,821.761620965379,832.0336303710938,8827948
2020-09-04 00:00:00+05:30,813.7574081863007,826.6530173870672,813.2682752453823,817.4482421875,8650342
2020-09-07 00:00:00+05:30,817.2259498274694,824.9188155914105,812.0232056690423,822.6954345703125,6700385
2020-09-08 00:00:00+05:30,827.0532900031419,846.6634999169238,823.1401176605683,835.3687133789062,12891964
2020-09-09 00:00:00+05:30,831.544484513945,841.3273608023443,823.5403130052546,825.0966796875,5528947
2020-09-10 00:00:00+05:30,831.811403156274,837.7700759113605,822.4732016731856,836.0358276367188,5171884
2020-09-11 00:00:00+05:30,831.4556124767968,848.575646835775,827.9871162705836,841.0606079101562,6671903
2020-09-14 00:00:00+05:30,851.1103516720351,881.3927937670217,843.3729739822991,870.1425170898438,21871587
2020-09-15 00:00:00+05:30,871.1207231515052,884.0163336524719,864.1393281447226,873.7443237304688,11608203
